Annee : ;2013;;;
Critere :;Effectif;;;
Secteur : ;Construction;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);120596450;31014487;76243787;56487011
Nombre d'entreprises (sans unite);512492;14598;9074;325
Effectif salarie en equivalent temps plein (sans unite);498006;193554;381793;242502
;;;;
Annee : ;2012;;;
Critere :;Effectif;;;
Secteur : ;Construction;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);118538860;31464454;78328103;53815676
Nombre d'entreprises (sans unite);487684;15645;9228;308
Effectif salarie en equivalent temps plein (sans unite);516386;207380;395183;240015
;;;;
Annee : ;2011;;;
Critere :;Effectif;;;
Secteur : ;Construction;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT;nd;nd;nd;nd
Nombre d'entreprises;nd;nd;nd;nd
Effectif salarie en equivalent temps plein;nd;nd;nd;nd
;;;;
Annee : ;2010;;;
Critere :;Effectif;;;
Secteur : ;Construction;;;
;0 a 9 salaries;10 a 19 salaries;20 a 249 salaries;250 salaries et plus
Chiffre d'affaires HT (kiloeuros);107214281;27451766;72727537;49754683
Nombre d'entreprises (sans unite);432831;13846;9750;319
Effectif salarie en equivalent temps plein (sans unite);513327;183017;404560;250941
