Année : ;2013;;;
Critère :;Effectif;;;
Secteur : ;Activités immobilières;;;
;0 à 9 salariés;10 à 19 salariés;20 à 249 salariés;250 salariés et plus
Chiffre d'affaires HT (kiloeuros);40527349;2700293;20759203;15648342
Nombre d'entreprises (sans unité);215357;1063;1162;96
Effectif salarié en équivalent temps plein (sans unité);62405;14771;74202;50009
;;;;
Année : ;2012;;;
Critère :;Effectif;;;
Secteur : ;Activités immobilières;;;
;0 à 9 salariés;10 à 19 salariés;20 à 249 salariés;250 salariés et plus
Chiffre d'affaires HT (kiloeuros);43159477;2741506;20309595;14784400
Nombre d'entreprises (sans unité);226235;1173;1242;91
Effectif salarié en équivalent temps plein (sans unité);65396;14934;74419;48162
;;;;
Année : ;2011;;;
Critère :;Effectif;;;
Secteur : ;Activités immobilières;;;
;0 à 9 salariés;10 à 19 salariés;20 à 249 salariés;250 salariés et plus
Chiffre d'affaires HT (kiloeuros);41353609;3275038;19689140;13764899
Nombre d'entreprises (sans unité);151359;1010;1291;96
Effectif salarié en équivalent temps plein (sans unité);64568;13223;74461;49067
;;;;
Année : ;2010;;;
Critère :;Effectif;;;
Secteur : ;Activités immobilières;;;
;0 à 9 salariés;10 à 19 salariés;20 à 249 salariés;250 salariés et plus
Chiffre d'affaires HT (kiloeuros);38454471;3071220;19158315;16507887
Nombre d'entreprises (sans unité);147319;1159;1150;96
Effectif salarié en équivalent temps plein (sans unité);63459;15341;72708;63296
